Route,P13,P12,P11,P10,P9,P8,P7,P6,P5,P4,P3,P2,P1
65,57.70%,60.00%,62.80%,63.20%,61.00%,68.90%,65.20%,66.70%,68.10%,64.30%,63.60%,64.90%,63.10%
65B,56.00%,62.40%,67.10%,63.90%,61.70%,69.10%,65.30%,67.80%,64.20%,67.10%,64.70%,64.90%,66.00%
70,60.40%,61.70%,67.20%,63.40%,66.60%,71.70%,65.90%,65.80%,67.70%,66.90%,68.90%,67.40%,57.30%
77A,54.20%,57.80%,60.50%,58.40%,60.80%,64.40%,59.40%,57.90%,59.50%,57.60%,57.90%,58.90%,57.00%
83,53.00%,58.90%,61.70%,60.50%,60.90%,66.20%,64.60%,63.30%,64.90%,65.80%,63.70%,63.60%,60.20%
83A,50.50%,61.70%,64.30%,60.20%,62.10%,65.30%,66.50%,63.90%,63.90%,66.00%,65.10%,63.80%,61.10%
116,37.10%,56.10%,52.00%,49.50%,51.40%,66.40%,41.40%,53.00%,60.90%,51.40%,60.80%,65.00%,61.40%
155,55.20%,58.90%,60.90%,57.90%,62.50%,63.70%,63.10%,63.40%,63.90%,63.70%,64.10%,63.50%,57.50%
16D,61.50%,67.50%,53.90%,55.70%,56.30%,64.80%,64.60%,67.50%,67.00%,62.70%,68.80%,66.70%,53.20%
7D,62.30%,76.90%,74.30%,73.50%,74.10%,75.50%,71.50%,72.70%,71.90%,68.50%,76.10%,64.70%,59.60%
15A,62.80%,68.90%,72.70%,71.10%,74.40%,75.70%,74.50%,73.80%,74.40%,75.50%,74.60%,73.20%,70.00%
27B,70.70%,74.50%,73.80%,75.50%,74.30%,77.20%,76.30%,74.00%,78.00%,75.50%,76.90%,75.50%,73.40%
37,53.60%,55.50%,58.80%,58.40%,59.90%,68.70%,65.90%,62.10%,62.40%,64.00%,64.20%,66.00%,63.30%
41,64.20%,68.20%,68.40%,66.80%,63.20%,67.80%,66.20%,66.10%,68.10%,69.90%,69.40%,71.60%,65.80%
41B,65.60%,74.20%,67.20%,62.70%,65.90%,73.80%,75.10%,70.60%,71.20%,73.70%,75.40%,76.30%,74.20%
41D,76.60%,70.40%,67.00%,71.50%,72.50%,66.20%,62.90%,79.10%,76.00%,75.70%,78.80%,66.20%,79.10%
42,66.70%,70.30%,68.70%,65.40%,69.10%,71.30%,68.10%,67.00%,70.90%,70.40%,69.80%,71.00%,68.40%
43,66.60%,72.30%,71.60%,70.30%,71.50%,77.30%,72.00%,72.50%,75.50%,72.60%,74.90%,69.60%,66.70%
54A,57.80%,62.60%,66.00%,65.30%,70.60%,74.60%,67.70%,65.60%,65.00%,62.70%,62.00%,63.30%,62.10%
56A,58.20%,59.40%,60.80%,64.00%,66.60%,68.60%,67.60%,67.50%,64.80%,68.00%,66.40%,66.70%,68.00%
61,55.20%,64.40%,67.60%,66.80%,72.60%,76.00%,68.30%,67.80%,69.70%,67.60%,72.80%,65.30%,64.00%
68,53.30%,59.40%,62.00%,61.80%,62.90%,65.90%,64.50%,64.30%,64.20%,62.90%,64.80%,66.60%,61.20%
69,56.30%,59.60%,61.00%,62.10%,61.40%,67.30%,64.80%,60.00%,65.30%,67.30%,68.90%,67.10%,65.10%
84,62.20%,63.30%,63.50%,68.50%,69.00%,70.40%,71.40%,70.20%,69.00%,68.90%,68.80%,70.10%,68.40%
118,62.80%,65.80%,60.20%,39.70%,46.70%,83.60%,63.00%,53.70%,40.00%,48.40%,59.30%,62.10%,68.60%
122,56.70%,63.10%,65.90%,64.60%,64.70%,69.50%,67.70%,66.40%,64.50%,66.10%,65.90%,67.30%,61.90%
142,60.40%,61.10%,57.20%,46.00%,68.30%,65.00%,55.90%,59.90%,53.30%,52.30%,60.00%,53.70%,40.60%
151,53.50%,57.70%,60.80%,60.40%,64.00%,65.20%,61.70%,61.70%,61.70%,64.10%,64.30%,60.70%,58.10%
26,60.40%,67.60%,68.30%,68.80%,67.80%,70.80%,73.30%,71.80%,72.90%,74.60%,75.10%,76.20%,71.20%
27A,78.70%,82.50%,83.10%,83.70%,83.00%,86.30%,82.70%,84.70%,84.40%,84.20%,83.60%,80.90%,76.70%
40B,67.40%,72.00%,69.20%,69.00%,72.40%,79.30%,73.30%,72.50%,71.60%,71.80%,71.80%,67.90%,69.50%
40D,66.90%,68.30%,66.60%,67.90%,71.00%,75.20%,72.40%,74.00%,73.00%,74.30%,73.60%,72.50%,69.70%
40E,85.50%,86.20%,84.90%,87.80%,87.80%,90.70%,87.80%,90.10%,89.50%,87.30%,88.30%,88.70%,86.60%
42D,62.30%,65.10%,78.60%,,,,,86.70%,74.60%,72.40%,79.80%,59.00%,68.50%
44B,56.90%,72.00%,64.40%,65.20%,85.00%,82.80%,79.50%,78.20%,74.60%,81.10%,71.70%,0.00%,73.40%
53,83.70%,80.50%,82.00%,82.10%,81.80%,83.90%,84.00%,79.60%,83.20%,82.30%,83.40%,79.80%,79.50%
68A,51.50%,56.00%,54.20%,60.80%,69.50%,69.90%,73.30%,67.30%,71.00%,76.20%,69.70%,70.40%,50.00%
79,,,71.70%,72.10%,72.90%,79.40%,75.20%,72.80%,75.40%,76.00%,75.40%,75.60%,70.40%
79A,,,72.50%,73.20%,75.20%,80.10%,75.80%,75.60%,76.10%,78.70%,78.70%,76.30%,70.20%
84A,67.00%,60.50%,59.10%,64.00%,66.00%,79.20%,68.90%,76.60%,68.60%,68.10%,71.80%,59.80%,58.00%
70D,63.20%,64.70%,58.80%,,,,,67.40%,68.90%,62.80%,66.70%,50.70%,68.10%
120,76.30%,81.30%,81.60%,79.40%,81.40%,84.50%,79.60%,81.00%,75.70%,79.50%,79.30%,77.70%,77.50%
150,60.20%,64.40%,65.00%,68.30%,72.70%,79.90%,71.50%,73.10%,73.10%,72.70%,71.00%,73.10%,73.20%
H1,76.70%,78.90%,79.10%,78.70%,77.40%,77.60%,77.40%,77.80%,78.80%,77.50%,78.40%,76.90%,71.50%
H2,72.80%,71.30%,72.70%,73.90%,72.90%,70.70%,72.50%,73.60%,72.80%,76.60%,74.50%,74.20%,70.40%
H3,75.20%,75.60%,75.00%,76.30%,73.90%,71.50%,72.90%,74.40%,75.80%,75.70%,74.90%,75.70%,70.40%
H9,,,,,,,,100.00%,97.70%,97.00%,91.40%,88.00%,85.60%
6,79.70%,76.20%,76.70%,76.60%,70.80%,74.10%,73.30%,75.50%,76.60%,76.80%,76.90%,73.90%,67.90%
C1,54.30%,56.30%,57.10%,59.70%,58.80%,62.30%,60.20%,60.80%,66.60%,69.10%,66.80%,69.90%,64.00%
C2,56.90%,60.90%,62.00%,61.40%,59.80%,62.10%,61.20%,61.10%,68.00%,69.30%,68.20%,68.20%,62.60%
C3,63.60%,66.10%,65.10%,63.50%,63.30%,62.90%,62.80%,67.20%,67.20%,70.80%,68.60%,70.20%,65.40%
C4,63.40%,65.70%,67.00%,63.40%,66.10%,67.50%,68.70%,70.10%,69.10%,72.20%,70.60%,73.20%,67.40%
C5,64.40%,74.20%,74.40%,72.60%,73.30%,72.00%,70.30%,69.00%,75.30%,75.00%,68.70%,68.10%,59.30%
C6,67.90%,68.10%,68.00%,71.90%,75.30%,72.10%,68.70%,70.10%,74.30%,70.90%,67.80%,69.70%,59.50%
L53,83.20%,83.50%,86.80%,85.40%,85.90%,88.50%,88.40%,85.70%,82.80%,84.50%,82.90%,69.20%,58.60%
L54,74.80%,77.90%,77.20%,77.20%,74.30%,75.60%,76.90%,79.80%,78.40%,77.90%,76.70%,69.80%,60.10%
L58,88.20%,83.40%,87.10%,87.50%,88.80%,92.70%,93.60%,90.90%,89.80%,90.30%,90.10%,76.70%,66.60%
L59,82.20%,81.80%,83.00%,84.20%,83.10%,86.00%,85.50%,85.30%,85.80%,84.70%,85.30%,71.10%,57.90%
P29,55.60%,50.90%,53.80%,54.10%,60.10%,67.20%,63.10%,64.80%,70.10%,66.60%,66.90%,35.70%,18.30%
X25,61.10%,57.30%,56.20%,41.50%,60.80%,81.10%,76.80%,59.60%,59.20%,67.70%,60.90%,73.40%,74.20%
X26,52.80%,63.40%,46.20%,44.50%,74.60%,85.70%,82.60%,66.60%,65.70%,71.70%,65.60%,61.10%,55.10%
X27,64.70%,61.20%,61.50%,43.00%,63.40%,82.70%,77.80%,66.80%,68.10%,79.20%,74.80%,68.40%,61.10%
X28,65.50%,58.50%,59.80%,45.10%,61.30%,80.20%,81.80%,62.70%,58.20%,72.20%,66.00%,67.30%,63.90%
X30,69.80%,52.40%,53.90%,66.00%,75.50%,83.00%,77.80%,71.30%,65.40%,69.90%,69.60%,73.30%,67.10%
X31,62.50%,62.70%,50.60%,52.50%,62.80%,81.40%,81.90%,60.10%,62.10%,70.50%,71.00%,63.80%,65.30%
X32,70.00%,57.20%,59.90%,59.80%,69.20%,84.30%,83.60%,60.90%,61.20%,77.30%,72.10%,75.80%,66.70%
52,74.10%,72.70%,73.50%,75.50%,77.20%,79.20%,76.60%,76.00%,76.60%,79.10%,78.50%,61.40%,49.60%
G1,55.80%,51.60%,,,,,,,,,,,
G2,51.30%,49.20%,,,,,,,,,,,
60,57.50%,49.50%,,,,,,,,,,,
33E,57.80%,56.70%,66.10%,58.30%,71.30%,86.30%,82.70%,64.60%,66.80%,62.20%,69.80%,80.90%,61.70%
77X,68.30%,71.40%,72.30%,59.80%,68.90%,77.20%,76.30%,81.60%,79.70%,77.70%,80.10%,65.70%,67.40%
39X,71.70%,60.60%,62.50%,59.10%,58.90%,74.80%,78.10%,67.70%,68.70%,81.60%,81.30%,71.50%,57.30%
69X,62.80%,50.50%,40.00%,49.70%,60.30%,80.30%,56.20%,48.30%,57.10%,65.80%,72.20%,74.70%,83.50%
41X,76.80%,58.50%,66.00%,64.60%,73.40%,78.70%,76.10%,69.80%,65.10%,68.80%,76.30%,61.50%,47.70%
32X,78.60%,64.70%,69.70%,63.30%,72.90%,83.50%,81.20%,73.80%,74.10%,75.50%,79.10%,59.00%,41.60%
84X,67.50%,66.80%,65.20%,56.70%,69.20%,85.70%,77.70%,75.50%,75.80%,74.80%,82.00%,68.50%,51.10%
27X,76.50%,75.80%,72.80%,65.30%,78.20%,90.50%,74.90%,75.30%,76.70%,76.70%,77.30%,62.60%,44.20%
33X,85.50%,74.20%,77.10%,72.70%,77.50%,78.50%,76.80%,73.80%,67.40%,76.10%,81.30%,70.20%,58.50%
51D,66.30%,64.20%,65.40%,61.80%,58.60%,62.00%,63.50%,69.40%,64.20%,60.80%,63.00%,65.50%,63.20%
33D,73.60%,64.70%,74.00%,64.50%,66.10%,80.90%,78.10%,65.60%,66.20%,71.90%,83.60%,87.70%,89.80%
68X,,,,,,,,51.50%,,,,,85.30%
